简历编号,姓名,性别,年龄,电话,邮箱,意向岗位,学历层次,院校类别,专业类别,英语水平,编程语言,编程语言熟练度,前端技术,前端技术熟练度,后端技术,后端技术熟练度,数据库,数据库熟练度,云计算/运维,云计算/运维熟练度,数据与算法,数据与算法熟练度,移动开发,移动开发熟练度,测试工具,测试工具熟练度,小型企业工作经验,中型企业工作经验,大型企业工作经验,小规模项目,中规模项目,大规模项目,筛选结果
0,高超,男,25,13303579727,xiuyingtao8552@yahoo.com,算法工程师,本科,普通高校,计算机类,英语四级,Java,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TensorFlow/PyTorch,Hadoop/Spark","熟练,熟练",NULL,NULL,NULL,NULL,3―5年,1―3年,1年以下,4,8,0,通过
1,钟丽,女,33,18520744666,weizheng@outlook.com,测试工程师,本科,211高校,计算机类,英语六级,"Python,JavaScript","熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter,Postman","精通,掌握,熟练",NULL,3―5年,NULL,13,0,0,通过
2,董桂珍,女,22,13307432927,qiangqian@qq.com,运维工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","了解,掌握,掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","精通,熟练,精通,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
3,杜明,男,23,13184723046,yongqian@hotmail.com,运维工程师,本科,普通高校,计算机类,英语四级,Java,精通,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux","精通,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,1,0,0,通过
4,刘阳,男,37,15857941552,yongzou@126.com,移动开发工程师,本科,普通高校,计算机类,英语六级,"Python,Java,Go","熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),iOS (Swift),React Native/Flutter","熟练,了解,掌握",NULL,NULL,5年以上,3―5年,NULL,1,0,0,通过
5,沙畅,女,39,13177517016,minliang088@gmail.com,测试工程师,本科,普通高校,计算机类,英语六级,"Python,Java","精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter","掌握,掌握,掌握",NULL,3―5年,NULL,4,8,0,通过
6,李桂芳,女,33,18086693465,minjia72@qq.com,前端开发工程师,本科,普通高校,计算机类,英语六级,"Python,Java,JavaScript,SQL","熟练,精通,熟练,熟练","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","掌握,熟练,掌握,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,14,7,0,通过
7,魏玉梅,女,33,17706665800,weimeng39@yahoo.com,后端开发工程师,本科,普通高校,计算机类,英语四级,"Python,JavaScript","熟练,掌握",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Kafka/RabbitMQ","熟练,熟练,熟练,精通","MySQL,PostgreSQL,MongoDB","熟练,了解,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,12,7,2,通过
8,叶刚,男,35,13112880133,mingdong138@yahoo.com,运维工程师,本科,普通高校,计算机类,英语四级,"Python,Java,Go","精通,了解,精通",NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux,Terraform","掌握,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,13,8,1,通过
9,顾磊,男,26,13939431290,weiyu7814@hotmail.com,数据工程师,本科,普通高校,计算机类,英语四级,"Java,SQL","掌握,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,了解,精通,了解",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","了解,掌握,熟练,熟练",NULL,NULL,NULL,NULL,3―5年,NULL,NULL,2,6,1,不通过
10,朱帆,男,38,15308488725,naye394@qq.com,云计算工程师,专科,普通高校,计算机类,无,Python,掌握,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Terraform","掌握,掌握,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,11,1,0,不通过
11,廖晶,女,22,18423184322,jieyuan5@outlook.com,云计算工程师,本科,普通高校,非计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","熟练,熟练,精通,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","熟练,熟练,熟练,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
12,楼亮,男,22,13388117298,juantang@yahoo.com,全栈开发工程师,专科,普通高校,计算机类,无,"Python,JavaScript,Go","精通,掌握,了解","HTML/CSS,React/Vue,Webpack","熟练,掌握,熟练","Spring Boot,Django/Flask","掌握,精通","MySQL,PostgreSQL,MongoDB,Redis","精通,掌握,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,0,不通过
13,王东,男,22,18589026012,mingao961@gmail.com,前端开发工程师,本科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","了解,熟练,掌握,精通,掌握","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","熟练,熟练,熟练,了解,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
14,王杨,男,22,18076973577,jingjin0714@gmail.com,数据分析师,专科,普通高校,计算机类,无,"Java,SQL","精通,精通",NULL,NULL,NULL,NULL,"MySQL,MongoDB","精通,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,熟练,熟练,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,0,0,0,通过
15,殷娟,女,22,17680856271,weixie7500@hotmail.com,前端开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL","掌握,熟练,精通,了解","HTML/CSS,React/Vue,TypeScript","熟练,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
